"type","date","ticker","close","previous_close","percentage_close","vol","av20d","percentage_vol"
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","IESC",215.0,285.04,-0.245719898961,400961.0,183505.55,2.185007483424
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","BLACR",0.1143,0.1518,-0.247035573122,26700.0,13605.1,1.962499356858
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","BTDR",15.54,20.66,-0.247821878025,1.198921E7,8122528.65,1.476044039561
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","BE",22.42,29.81,-0.247903388124,2.1443506E7,6506448.95,3.295731076165
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","SITM",185.9,247.61,-0.249222567747,561529.0,176573.45,3.180144013723
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","ALUR-WS",0.045,0.06,-0.25,352761.0,219291.55,1.608639274974
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","SMCX",33.35,44.48,-0.250224820143,2567430.0,1303348.0000000005,1.969872973296
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","NNE",33.26,44.51,-0.252752190518,1.2794748E7,6287140.35,2.035066387534
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","INHD",3.69,4.95,-0.254545454545,74380.0,18466.3,4.027877809848
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","RTC",1.1697,1.57,-0.254968152866,404180.0,108400.7,3.728573708472
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","OKLO",31.11,41.82,-0.256097560975,4.3033101E7,1.82234162E7,2.361417888266
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","FIX",404.24,544.16,-0.257130255807,1445091.0,412597.9000000015,3.502419668156
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","MOD",98.0475,132.24,-0.258563974591,4055500.0,884596.8,4.584574576801
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","SMCL",12.182,16.47,-0.260352155434,147408.0,73041.4,2.018143135263
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","MULN",0.325,0.4407,-0.262536873156,3.4510283E7,1.352706115E7,2.551203296659
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","TSMX",26.99,36.62,-0.262971054068,3889128.0,876249.3,4.438380721103
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","TSMU",22.69,30.8157,-0.263687016683,218192.0,51023.75,4.276283103456
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","UCAR",4.07,5.6,-0.273214285714,233437.0,85314.39999999944,2.736196937445
